sysmbol,ID,character,position,Text,Jump,kindness,intellegence,compliance,Scenes,sound,,csv bug
$,32,Vivian's Father,l,I don't think anything special happened… I can't really remember. Maybe it was when we took her to my mother-in-law's place，and their dog scared her. That dog was huge—I was worried it might jump up and bite me.,33,,,,,,,
$,33,Vivian's Mother,r,Hey! Leave my family out of this.,34,,,,,,,
$,34,Vivian's Father,l,You saw it yourself! Your dad didn't hold the leash properly，and the dog pounced on Vivian. It must have traumatized her.,35,,,,,,,
$,35,Vivian,r,(Tugs at her mother's sleeve again),36,,,,,,,
$,36,Vivian's Mother,r,I've had enough. She was perfectly fine at their place afterward—this has nothing to do with the dog!,37,,,,,,,
$,37,Vivian's Father,l,Oh，so now you just 'know' huh? Psychological trauma from a dog attack doesn't just disappear overnight.,38,,,,,,,
$,38,Vivian's Mother,r,Stop talking nonsense. You know what really happened!,39,,,,,,,
%,39,Me,,Come on，spill it! What really happened?,42,-1,-1,-3,,,,
%,40,Me,,I can hear that you are frustrated about this. Can you describe how it makes you feel?,43,,,1,,,,
%,41,Me,, (Listening to Mark talk about that game was amazing. There's a replay today—I can't miss it!),44,,-3,-1,,,,
$,42,Vivian's Mother,r,(Glances at you sideways),45,,,,,,,
$,43,Vivian's Mother,r,I…I don't know how to say it…,45,,,,,,,
$,44,Me,l,(A 3-2 score，a last-minute goal—my god，that must have been insane!),45,,,,,,,
$,45,Vivian's Father,l,Enough with all this nonsense. It was the dog. If your father had just kept it under control，none of this would've happened!,46,,,,,,,
$,46,Vivian's Mother,r,Here we go again. You know damn well it wasn't the dog!,47,,,,,,,
$,47,Vivian,r, (Tugs at her mother's sleeve once more),48,,,,,,,
$,48,Vivian's Father,l,Then what was it? If not the dog，then what?!,49,,,,,,,
$,49,Therapist,l,Let's all calm down…,50,,,,,,,
$,50,Vivian's Mother,r,(Ignores the therapist) Are you serious? You really want me to say it? Right here? Don't blame me if I embarrass you!,51,,,,,,,
$,51,Vivian's Father,l,Enough! I told you—that was just a misunderstanding!,52,,,,,,,
$,52,Vivian's Mother,r,A misunderstanding? Was 'my sweet little baby' a misunderstanding? Was “my adorable little sweetheart” a misunderstanding? Was “I want to swing with you on the moon，watching shooting stars fall across the dazzling night sky” a misunderstanding?!,53,,,,,,,
$,53,Vivian's Father,l,I've had enough! I'm leaving! I knew this family therapy thing was a mistake!,54,,,,,,,
$,54,Vivian's Mother,r,Go ahead! No one wants you here anyway!,55,,,,,,,
!,55,,,Family counselor: Social services can help families connect with professional family counselors，who provide expert guidance in both emotional and problem-solving aspects. Of course，that only works if the family members are honest and genuinely willing to resolve their issues…,56,,,,Office,key,,
!,56,,,(And just like that，the family meeting ended...) In the aftermath，Vivian's mother took her and left. At least Mark was right about one thing—the couple sure was 'passionate' about their stance. As they walked away，you couldn't help but notice the sadness in the child's eyes… (Some time later，back in the office…),57,,,,,,,
$,57,Lily,r,Hey，what's up? You don't look too great.,58,,,,,,,
$,58,Me,l,Hey，Lily. I'm fine—just a busy morning.,59,,,,,,,
$,59,Lily,r,Haha，make sure to keep your energy up! By the way，have you thought about what I asked last time?,60,,,,,,,
$,60,Me,l,Huh? Sorry，I forgot.,61,,,,,,,
$,61,Lily,r,Morning runs! Come on，join me. It'll be great for your energy. You can't just survive on coffee all the time!,62,,,,,,,
$,62,Me,l, (Awkward laugh) Oh，morning runs… I've been staying up late recently，so I just can't get up in the mornings…,63,,,,,,,
$,63,Lily,r,Ugh，you. Fine，but let me know if you change your mind.,64,,,,,,,
$,64,Lily,r,Oh，right! I got the funniest case today—a kid called in because his parents wouldn't buy him a puppy!,65,,,,,,,
$,65,Me,l,Oh? And how did you handle that?,66,,,,,,,
$,66,Lily,r,Of course，I helped him with it! I told him to talk to his parents and try to understand their point of view instead of just throwing a tantrum.,67,,,,,,,
$,67,Lily,r,And if he really wanted a dog，he needed to prove he was responsible enough to care for one—taking it on walks，cleaning up its poop，all that.,68,,,,,,,
$,68,Lily,r,So I gave him a trick: wake up early every morning，tie a leash to a rock，and walk it around the yard like a dog. If he sticks with it long enough，his parents will see he's serious and might be more likely to get him one. Now，guess who used this method to get her own dog?,69,,,,,,,
%,69,,,That's actually a great idea!,72,1,,-1,,,,
%,70,,,That doesn't sound like a great idea…,71,,1,1,,,,
$,71,Me,l,Are you sure your parents didn't get you a dog because they were worried about your mental state?,73,,,,,,,
$,72,Lily,r,Right? Right? I think it's a brilliant idea too! (Laughs) If I could wake up early every day，it would prove I was responsible enough for a dog. Though… yeah，I guess there's a chance my parents got me the dog out of concern for my mental well-being…,74,,,,,,,
$,73,Lily,r,Hey，don't twist it! It was my way of proving I could take care of a dog. (Laughs) Besides，if I could wake up early every day，that just shows I had the dedication!,74,,,,,,,
$,74,Me,l,Do you ever get tired of these kinds of calls?,75,,,,,,,
$,75,Lily,r,What? Of course not! I love when kids call in! A lot of them don't even realize they can get help，or when they should reach out. I just want them to call whenever they feel like they need it.,76,,,,,,,
$,76,Lily,r,There's no such thing as a 'big' or 'small' problem—I'll do my best to help them，no matter what. That's what being a social worker is all about!,77,,,,,,,
$,77,Me,l,Haha，that's the Lily I know.,78,,,,,,,
$,78,Lily,r,Alright，enough chit-chat—I've got more cases to get to. My dashboard is full! You keep at it too!,79,,,,,,,
$,79,Me,l,All right. Time to take on some new cases!,80,,,,,,,
End,80,,,,,,,,City,,,
