sysmbol,ID,character,position,Text,Jump,kindness,intellegence,compliance,Scenes,sound,,csv bug
!,74,,,I was pleased to wrap up the case，wishing the family continued positive changes in the future.,75,,,,,,,
!,75,,,A month later，I received a call，and the voice of a young boy came through the phone.,76,,,,,,,
$,76,Me,l,Hi，who is speaking?,77,,,,,,,
$,77,Alex,r,Hi，it's Alex.,78,,,,,,,
$,78,Me,l,Hey there，little Alex，how have you been?,79,,,,,,,
$,79,Alex,r,Great! I'm at my grandmother's house now. I don't fight at school anymore. Am I doing great？,80,,,,,,,
$,80,Me,l,Really? That's awesome，Alex! You're such a good kid.,81,,,,,,,
$,81,Alex,r,Hehe，if it's okay，I’d like to stay in touch with you.,82,,,,,,,
$,82,Me,l,Of course，feel free to contact me anytime if you need support from us!,83,,,,,,,
$,83,Alex,r,That's great，then it’s settled. Bye-bye!,84,,,,,,,
$,84,Me,l,Bye!,85,,,,,,,
End,85,,,,,,,,City,,,
